Treatment	Sample	Organism	Bin_Prefixed	Bin	Relative_Abundance	classification	domain	completeness	contamination	n50	size
ces	ces_7	Symbiont	ces_binette_bin1	binette_bin1	78.940419	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__	Bacteria	99.95	0.05	53908	7311114
ces	ces_7	Endophyte	ces_binette_bin2	binette_bin2	0.288468	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Cellvibrionaceae;g__Cellvibrio;s__Cellvibrio sp000263355	Bacteria	100	0.11	82987	4505973
ces	ces_7	Endophyte	ces_binette_bin3	binette_bin3	0.38124	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__	Bacteria	95.98	1.17	7925	2993746
ces	ces_7	Endophyte	ces_binette_bin4	binette_bin4	0.74509	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__	Bacteria	95.78	3.3	7147	3362438
ces	ces_7	Symbiont	ces_binette_bin5	binette_bin5	19.479528	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__	Bacteria	83	1.4	19046	7769520
ces	ces_7	Endophyte	ces_binette_bin6	binette_bin6	0.165256	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__	Bacteria	79.71	0.19	8522	3053491
ces	ces_6	Symbiont	ces_binette_bin1	binette_bin1	38.510978	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__	Bacteria	99.95	0.05	53908	7311114
ces	ces_6	Endophyte	ces_binette_bin2	binette_bin2	0.457424	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Cellvibrionaceae;g__Cellvibrio;s__Cellvibrio sp000263355	Bacteria	100	0.11	82987	4505973
ces	ces_6	Endophyte	ces_binette_bin3	binette_bin3	0.57005	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__	Bacteria	95.98	1.17	7925	2993746
ces	ces_6	Endophyte	ces_binette_bin4	binette_bin4	0.819025	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__	Bacteria	95.78	3.3	7147	3362438
ces	ces_6	Symbiont	ces_binette_bin5	binette_bin5	58.883607	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__	Bacteria	83	1.4	19046	7769520
ces	ces_6	Endophyte	ces_binette_bin6	binette_bin6	0.758916	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__	Bacteria	79.71	0.19	8522	3053491
ces	ces_1	Symbiont	ces_binette_bin1	binette_bin1	66.417918	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__	Bacteria	99.95	0.05	53908	7311114
ces	ces_1	Endophyte	ces_binette_bin2	binette_bin2	0.052839	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Cellvibrionaceae;g__Cellvibrio;s__Cellvibrio sp000263355	Bacteria	100	0.11	82987	4505973
ces	ces_1	Endophyte	ces_binette_bin3	binette_bin3	0.150512	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__	Bacteria	95.98	1.17	7925	2993746
ces	ces_1	Endophyte	ces_binette_bin4	binette_bin4	0.231723	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__	Bacteria	95.78	3.3	7147	3362438
ces	ces_1	Symbiont	ces_binette_bin5	binette_bin5	33.045353	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__	Bacteria	83	1.4	19046	7769520
