KO,Metric,MeanImp,SpearmanRho,Pvalue,Description,Pathways,Modules,BRITE_L1,BRITE_L2,BRITE_L3,in_symbiont,symbiont_label
K10254,richness,2.1197041535717425,-0.4884,0.007181,"ohyA, sph; oleate hydratase [EC:4.2.1.53]",NA,NA,Not Included in Pathway or Brite,Unclassified: metabolism,Enzymes with EC numbers,TRUE,Symbiont-encoded
K02554,richness,2.1112379027883534,-0.7586,1.853e-6,mhpD; 2-keto-4-pentenoate hydratase [EC:4.2.1.80],Phenylalanine metabolism; Benzoate degradation; Dioxin degradation; Xylene degradation; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds,"Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA; Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA",Metabolism,Amino acid metabolism; Xenobiotics biodegradation and metabolism,Phenylalanine metabolism; Benzoate degradation; Xylene degradation; Dioxin degradation,TRUE,Symbiont-encoded
K18910,richness,2.108886891451368,0.4622,0.01159,"dpe, lre; D-psicose/D-tagatose/L-ribulose 3-epimerase [EC:5.1.3.30 5.1.3.31]",NA,NA,Not Included in Pathway or Brite,Unclassified: metabolism,Enzymes with EC numbers,TRUE,Symbiont-encoded
K20272,richness,2.09247433634305,-0.5763,0.001067,traM; TraR antiactivator,Quorum sensing,NA,Cellular Processes,Cellular community - prokaryotes,Quorum sensing,FALSE,Not in symbiont
K07167,richness,2.0743938244719433,-0.6265,2.767e-4,chrR; putative transcriptional regulator,NA,NA,Not Included in Pathway or Brite,Unclassified: signaling and cellular processes,Signaling proteins,TRUE,Symbiont-encoded
K01611,richness,2.055759554606176,-0.6959,2.766e-5,"speD, AMD1; S-adenosylmethionine decarboxylase [EC:4.1.1.50]",Cysteine and methionine metabolism; Arginine and proline metabolism; Metabolic pathways; Biosynthesis of secondary metabolites,"Methionine salvage pathway; Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine",Metabolism,Amino acid metabolism,Cysteine and methionine metabolism; Arginine and proline metabolism,TRUE,Symbiont-encoded
K18320,richness,2.0551666719945634,0.6507,1.322e-4,"IS15, IS26; transposase, IS6 family",NA,NA,Not Included in Pathway or Brite,Unclassified: genetic information processing,Replication and repair,FALSE,Not in symbiont
K03723,richness,2.055025750021932,-0.6912,3.302e-5,mfd; transcription-repair coupling factor (superfamily II helicase) [EC:5.6.2.4],Nucleotide excision repair,NA,Genetic Information Processing; Brite Hierarchies,Replication and repair; Protein families: genetic information processing,Nucleotide excision repair; DNA repair and recombination proteins,TRUE,Symbiont-encoded
K21990,richness,2.0458696919290165,-0.4912,0.006815,yfdC; formate-nitrite transporter family protein,NA,NA,Not Included in Pathway or Brite,Unclassified: signaling and cellular processes,Transport,FALSE,Not in symbiont
K00285,richness,2.0458523576657703,-0.853,4.173e-9,dadA; D-amino-acid dehydrogenase [EC:1.4.5.1],Phenylalanine metabolism; D-Amino acid metabolism; Metabolic pathways,NA,Metabolism,Amino acid metabolism; Metabolism of other amino acids,Phenylalanine metabolism; D-Amino acid metabolism,TRUE,Symbiont-encoded
